chrom,chromStart,chromEnd,score,strand,position,543_A03,543_A06,543_A07,543_A08,543_A09,543_A10,name
5,112043218,112051904,500,-,1,34,41,87,33,49,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,2,34,42,89,33,49,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,3,34,42,89,33,49,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,4,34,42,89,32,51,39,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,5,34,45,89,32,52,40,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,6,35,45,88,31,53,40,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,7,35,46,89,30,54,41,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,8,35,47,98,30,53,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,9,35,47,99,30,53,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,10,35,47,97,34,53,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,11,35,49,97,34,52,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,12,35,49,96,35,53,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,13,35,50,100,35,53,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,14,34,50,103,38,53,44,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,15,34,55,104,36,55,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,16,34,58,107,34,52,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,17,34,58,105,34,52,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,18,35,60,107,37,52,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,19,35,61,110,38,52,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,20,33,61,110,38,54,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,21,34,59,112,39,53,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,22,34,58,113,39,54,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,23,36,57,117,39,54,42,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,24,36,57,116,40,54,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,25,36,57,120,40,54,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,26,38,57,123,45,54,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,27,40,59,123,45,56,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,28,42,58,127,47,55,43,APC:ENST00000457016:ENSE00000972230
5,112043218,112051904,500,-,29,44,57,130,47,58,43,APC:ENST00000457016:ENSE00000972230
